News #|Total time Spent (s)|Trials|Difference from non-API fake score|Errors
1|36.568546533584595|1|0.0|No Error
2|2.200875759124756|1|0.0|No Error
3|3.1033241748809814|1|0.0|No Error
4|4.897955894470215|1|0.0|No Error
5|5.498347282409668|1|0.0|No Error
6|5.2503674030303955|1|0.0|No Error
7|5.384843349456787|1|0.0|No Error
8|2.624032974243164|1|0.0|No Error
9|4.508853197097778|1|0.0|No Error
10|4.437762498855591|1|0.0|No Error
11|28.7194242477417|1|0.0|No Error
12|11.299896240234375|1|0.0|No Error
13|13.436254262924194|1|0.0|No Error
14|12.032113313674927|1|0.0|No Error
15|9.364495515823364|1|0.0|No Error
16|4.89678168296814|1|7.62939453125e-06|No Error
17|4.065359354019165|1|0.0|No Error
18|8.363011121749878|1|0.0|No Error
19|8.83617091178894|1|0.0|No Error
20|8.431248664855957|1|0.0|No Error
21|7.983327627182007|1|0.0|No Error
22|9.854665040969849|1|0.0|No Error
23|7.789507627487183|1|0.0|No Error
24|2.83876633644104|1|0.0|No Error
25|2.4630558490753174|1|0.0|No Error
26|4.060456991195679|1|0.0|No Error
27|4.045551538467407|1|0.0|No Error
28|3.0978331565856934|1|0.0|No Error
29|8.580210208892822|1|0.0|No Error
30|3.7209441661834717|1|0.0|No Error
31|4.788859844207764|1|0.0|No Error
32|6.414243221282959|1|0.0|No Error
33|2.6115477085113525|1|0.0|No Error
34|9.677596807479858|1|0.0|No Error
35|8.573623180389404|1|0.0|No Error
36|2.3956847190856934|1|0.0|No Error
37|2.4037816524505615|1|3.814697265625e-06|No Error
38|2.053945541381836|1|3.814697265625e-06|No Error
39|4.099784851074219|1|7.62939453125e-06|No Error
40|10.734350204467773|1|0.0|No Error
41|2.033132314682007|1|0.0|No Error
42|3.085498332977295|1|0.0|No Error
43|5.6153881549835205|1|0.0|No Error
44|1.8567228317260742|1|0.0|No Error
45|2.764957904815674|1|0.0|No Error
46|1.4383001327514648|1|0.0|No Error
47|2.540985584259033|1|0.0|No Error
48|3.3204426765441895|1|3.814697265625e-06|No Error
49|2.948186159133911|1|0.0|No Error
50|6.409635782241821|1|0.0|No Error
51|9.949117660522461|1|0.0|No Error
52|2.1241226196289062|1|0.0|No Error
53|4.660560846328735|1|0.0|No Error
54|1.7401187419891357|1|0.0|No Error
55|14.789211511611938|1|0.0|No Error
56|5.363373041152954|1|0.0|No Error
57|4.290088176727295|1|0.0|No Error
58|4.076793670654297|1|0.0|No Error
59|6.259694814682007|1|7.62939453125e-06|No Error
60|3.2431647777557373|1|0.0|No Error
61|1.8875339031219482|1|0.0|No Error
62|2.664151906967163|1|0.0|No Error
63|3.2335638999938965|1|0.0|No Error
64|8.828926086425781|1|0.0|No Error
65|10.27720856666565|1|0.0|No Error
66|4.211956739425659|1|0.0|No Error
67|3.715977191925049|1|0.0|No Error
68|2.182509183883667|1|0.0|No Error
69|6.473541975021362|1|0.0|No Error
70|5.526786804199219|1|0.0|No Error
71|10.991244077682495|1|0.0|No Error
72|2.791043996810913|1|0.0|No Error
73|17.6313579082489|1|0.0|No Error
74|7.452455520629883|1|0.0|No Error
75|2.9196128845214844|1|0.0|No Error
76|3.6294751167297363|1|0.0|No Error
77|2.315397262573242|1|0.0|No Error
78|5.11038064956665|1|0.0|No Error
79|19.843775510787964|1|0.0|No Error
80|6.759099960327148|1|0.0|No Error
81|3.716083288192749|1|0.0|No Error
82|3.3273651599884033|1|0.0|No Error
83|4.7172791957855225|1|0.0|No Error
84|10.477253675460815|1|0.0|No Error
85|4.259241342544556|1|0.0|No Error
86|3.0838284492492676|1|0.0|No Error
87|3.502720832824707|1|0.0|No Error
88|2.8124966621398926|1|0.0|No Error
89|7.748509883880615|1|0.0|No Error
90|11.753576278686523|1|0.0|No Error
91|5.697317361831665|1|0.0|No Error
92|2.9136626720428467|1|0.0|No Error
93|3.660459041595459|1|0.0|No Error
94|2.5875866413116455|1|0.0|No Error
95|3.1474411487579346|1|3.814697265625e-06|No Error
96|1.597243309020996|1|0.0|No Error
97|3.9337844848632812|1|0.0|No Error
98|2.7203097343444824|1|7.62939453125e-06|No Error
99|2.627220869064331|1|0.0|No Error
100|2.9367105960845947|1|0.0|No Error
